Kalshi_Event,Kalshi_ID,Polymarket_Event,Polymarket_ID,Score
Will Liquid win the TheMongolz vs. Liquid match?,KXCSGOGAME-25DEC04MGLZTL-TL,AI wins IMO gold medal in 2025?,517124,0.4489795918367347
Will Vitality win the IEM Chengdu 2025: MOUZ vs. Vitality?,KXCSGOGAME-MOUVIT825-VIT,Will Italy win the Euro 2020?,220319,0.4482758620689655
Will Vitality win the IEM Chengdu 2025: MOUZ vs. Vitality?,KXCSGOGAME-MOUVIT25-VIT,Will Italy win the Euro 2020?,220319,0.4482758620689655
Will Aurora Gaming win the M80 vs. Aurora Gaming match?,KXCSGOGAME-25NOV29M80AUR-AUR,NATO/EU troops fighting in Ukraine in 2025?,521103,0.4473684210526316
Will Passion UA win the Passion UA vs. fnatic match?,KXCSGOGAME-25DEC01PSSNUAFNC-PSSNUA,Will the Spurs or the Grizzlies win their NBA play-in tournament matchup?,200261,0.4473684210526316
Will Legacy win the PGL Masters Bucharest 2025: Legacy vs. SAW?,KXCSGOGAME-LEGSAW25-LEG,Will Donald Trump visit China in 2025 ARCh?,518867,0.4470588235294118
Will HEROIC win the PGL Masters Bucharest 2025: HEROIC vs. GamerLegion?,KXCSGOGAME-HERGAM25-HER,Jerome Powell out as Fed Chair in 2025?,520930,0.44680851063829785
Will Rare Atom win the Rare Atom vs. Imperial match?,KXCSGOGAME-25NOV24RAIMP-RA,Will Arca Ape win the CryptOG Charity Poker Tournament?,226944,0.4444444444444444
Will Astralis win the Astralis vs. Aurora Gaming match?,KXCSGOGAME-25DEC01ASTAUR-AST,Will Donald Trump visit South Korea in 2025?,518870,0.4444444444444444
Will Passion UA win the G2 vs. Passion UA match?,KXCSGOGAME-25DEC04G2PSSNUA-PSSNUA,Macron out in 2025?,517231,0.4444444444444444
Will paiN win the IEM Chengdu 2025: paiN vs. Spirit?,KXCSGOGAME-PAISPI25-PAI,Will Trump be impeached in 2025?,517855,0.4444444444444444
Will TYLOO win the IEM Chengdu 2025: TYLOO vs. paiN?,KXCSGOGAME-TYLPAI25-TYL,Will Trump be impeached in 2025?,517855,0.4444444444444444
Will Legacy win the PGL Masters Bucharest 2025: paiN vs. Legacy?,KXCSGOGAME-PAILEG25-LEG,Will Donald Trump visit China in 2025 ARCh?,518867,0.4418604651162791
Will Falcons win the IEM Chengdu 2025: MOUZ vs. Falcons?,KXCSGOGAME-MOUFAL25-FAL,Dan Clancy out as Twitch CEO in 2025?,516840,0.44155844155844154
Will Aurora Gaming win the FaZe vs. Aurora Gaming match?,KXCSGOGAME-25NOV29FAZEAUR-AUR,NATO/EU troops fighting in Ukraine in 2025?,521103,0.44155844155844154
Will Aurora Gaming win the Astralis vs. Aurora Gaming match?,KXCSGOGAME-25DEC01ASTAUR-AUR,Will North Korea invade South Korea in 2025?,521027,0.44155844155844154
Will Natus Vincere win the Natus Vincere vs. FURIA match?,KXCSGOGAME-25DEC04NAVIFURIA-NAVI,Will Donald Trump visit China in 2025?,519732,0.4411764705882353
Will The MongolZ win the IEM Chengdu 2025: The MongolZ vs. paiN?,KXCSGOGAME-THEPAI25-THE,Macron out in 2025?,517231,0.4406779661016949
Will Vitality win the Vitality vs. FURIA match?,KXCSGOGAME-25NOV13VITFURIA-VIT,Will Donald Trump visit Russia in 2025?,518889,0.4406779661016949
Will Natus Vincere win the B8 vs. Natus Vincere match?,KXCSGOGAME-25NOV30B8NAVI-NAVI,Ukraine joins NATO in 2025?,516715,0.4406779661016949
Will Falcons win the IEM Chengdu 2025: Astralis vs. Falcons?,KXCSGOGAME-ASTFAL25-FAL,Will Donald Trump visit China in 2025 ARCh?,518867,0.43902439024390244
Will The MongolZ win the IEM Chengdu 2025: The MongolZ vs. Astralis?,KXCSGOGAME-THEAST25-THE,Will Donald Trump visit China in 2025 ARCh?,518867,0.43902439024390244
